atom,xc,method,basis,nstates,spin,status,nao,scf_converged,sum_osc,alpha0,C6,n_channels,note
Ge,pbe,TDDFT,def2-SVP,100,2,ok,32,True,4.631005614925449,22.16874373,148.59528424,39,
Ge,pbe,TDDFT,def2-TZVP,100,2,ok,48,True,4.297008394553278,29.28790225,241.07363762,36,
Ge,pbe,TDDFT,def2-TZVPP,100,2,ok,48,True,4.296993820659697,29.28606189,241.06648617,33,
Ge,pbe,TDDFT,cc-pVTZ,100,2,ok,43,True,4.402045417664093,29.48770005,238.40342410,35,
Ge,pbe,TDDFT,aug-cc-pVTZ,100,2,ok,59,True,3.7107482959142497,44.28623330,368.83606287,37,
Ge,pbe,TDDFT,cc-pVQZ,100,2,ok,68,True,4.00891720045166,36.24707916,306.47193557,38,
Ge,pbe,TDDFT,aug-cc-pVQZ,100,2,ok,93,True,3.495021938174458,44.38304460,361.12518226,39,
