R_bohr,E_all_e_pbe_Ha,E_all_e_pbe_meV,E_psp_q2_Ha,E_psp_q2_meV,E_psp_plus_eft_Ha,E_psp_plus_eft_meV,err_psp_pct,err_eft_pct
8,-0.002470352555885315,-67.22171756195897,-0.0024361425607681273,-66.2908161713518,-0.002470777919464111,-67.23329229459657,-1.3848223823634647,0.01721873980224714
10,-0.00064758810041,-17.62176992856217,-0.00063862015545,-17.377739714422848,-0.00064769960692,-17.624804175274722,-1.3848223823634647,0.01721873980224714
12,-0.00021687594454960243,-5.901495094602708,-0.00021387259792751736,-5.819769869638567,-0.00021691328785418808,-5.90251125768749,-1.3848223823634647,0.01721873980224714
15,-5.6852727608010976e-05,-1.5470415300795322,-5.606541831111111e-05,-1.5256177527065327,-5.686251693124828e-05,-1.5473079111352293,-1.3848223823634647,0.01721873980224714
20,-1.011856406890625e-05,-0.2753401551337839,-9.97843992890625e-06,-0.271527183037857,-1.0120306358125e-05,-0.27538756523866753,-1.3848223823634647,0.01721873980224714
30,-8.883238688751715e-07,-0.02417252390749269,-8.760221611111111e-07,-0.023837777386039573,-8.884768270507544e-07,-0.024176686111487957,-1.3848223823634647,0.01721873980224714
40,-1.5810256357666016e-07,-0.0043021899239653735,-1.5591312388916015e-07,-0.004242612234966516,-1.5812978684570312e-07,-0.00430293070685418,-1.3848223823634647,0.01721873980224714
