atom,pseudo_name,basis_label,basis_block_name,basis_provenance,active_shells,correction_shells,C6_PSP,C6_PSP_plus_sternheimer,Delta_C6_core,relative_delta_pct,target_audit_status,note
Cd,GTH-LDA-q2,QZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,QZVPP-MOLOPT-PBE-GTH-q20,adapted_from_q20,5s,4d,271.0878142,508.38822587,237.30041166999996,87.5363624773363,pass,nelectron=2; nao=88; tddft_states=3; Cd q20 UZH QZVPP basis tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-LDA-q2,TZV2P-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZV2P-MOLOPT-PBE-GTH-q12,adapted_from_q12,4s,3d,244.46353337,285.74743589,41.28390252000003,16.887550446027504,pass,nelectron=2; nao=41; tddft_states=3; Zn q12 UZH TZV2P basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-LDA-q2,TZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,TZVPP-MOLOPT-PBE-GTH-q20,adapted_from_q20,5s,4d,171.087742,381.31762366,210.22988166,122.87840099029421,pass,nelectron=2; nao=56; tddft_states=3; Cd q20 UZH TZVPP basis tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-LDA-q2,TZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZVP-MOLOPT-PBE-GTH-q12,adapted_from_q12,4s,3d,244.46353337,285.74743589,41.28390252000003,16.887550446027504,pass,nelectron=2; nao=34; tddft_states=3; Zn q12 UZH TZVP basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-LDA-q2,DZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,DZVP-MOLOPT-PBE-GTH-q12,adapted_from_q12,4s,3d,240.21003497,281.12429727,40.91426229999999,17.032703194564622,pass,nelectron=2; nao=25; tddft_states=3; Zn q12 UZH DZVP basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-LDA-q2,SVP-MOLOPT-PBE-GTH-q20-as-q2-adapted,SVP-MOLOPT-PBE-GTH-q20,adapted_from_q20,5s,4d,238.35232005,459.59138013,221.23906008,92.82018317824216,pass,nelectron=2; nao=31; tddft_states=3; Cd q20 UZH SVP basis tested as a q2 candidate only; not library-native matched q2.
