reference,C6_PSP,C6_PSP_EFT,C6_all_e,Delta_C6_missing,Delta_C6_EFT,closure_pct,note
TDDFT_ano_n50,474.08122525,566.1351546200001,470.39898966,-3.6822355900000048,92.05392937000005,-2499.9467611468044,uses ANO 4d EFT delta and converged PSP nstates=200
TDDFT_ano_n100,474.08122525,566.1351546200001,569.96394236,95.88271711000004,92.05392937000005,96.00680095912647,uses ANO 4d EFT delta and converged PSP nstates=200
TDDFT_ano_n150,474.08122525,566.1351546200001,576.98408849,102.90286324000003,92.05392937000005,89.45711421743905,uses ANO 4d EFT delta and converged PSP nstates=200
TDA_ano_n50,474.08122525,566.1351546200001,625.02150383,150.94027858000004,92.05392937000005,60.98698785772442,uses ANO 4d EFT delta and converged PSP nstates=200
TDA_ano_n80,474.08122525,566.1351546200001,819.66912503,345.58789978000004,92.05392937000005,26.636907550467257,uses ANO 4d EFT delta and converged PSP nstates=200
TDA_ano_n100,474.08122525,566.1351546200001,827.91519868,353.83397343,92.05392937000005,26.016136460172707,uses ANO 4d EFT delta and converged PSP nstates=200
TDA_ano_n120,474.08122525,566.1351546200001,831.03236415,356.95113890000005,92.05392937000005,25.788944014488486,uses ANO 4d EFT delta and converged PSP nstates=200
