R_bohr,E_ref_Ha,E_ref_meV,E_tdhf_Ha,E_tdhf_meV,E_mo_Ha,E_mo_meV,E_calibrated_Ha,E_calibrated_meV,err_tdhf_pct,err_mo_pct
8.0,-0.0002452850341796875,-6.674545805423844,-0.00023166762954711915,-6.303997348299121,-0.00029044145614624025,-7.903314645042529,-0.0002452850341796875,-6.674545805423844,-5.551665505443227,18.409774618973575
10.0,-6.429999999999999e-05,-1.749692135617028,-6.0730279080000005e-05,-1.652555080872525,-7.613748508e-05,-2.071806514310029,-6.429999999999999e-05,-1.749692135617028,-5.551665505443227,18.409774618973575
12.0,-2.1533939900548696e-05,-0.585968356031723,-2.0338447587127057e-05,-0.5534373529370971,-2.5498289702824933e-05,-0.6938438097156678,-2.1533939900548696e-05,-0.585968356031723,-5.551665505443227,18.409774618973575
15.0,-5.644993141289438e-06,-0.15360808872358,-5.331602004279836e-06,-0.1450802814483424,-6.684223655857339e-06,-0.18188699165410402,-5.644993141289438e-06,-0.15360808872358,-5.551665505443227,18.409774618973575
20.0,-1.0046874999999999e-06,-0.027338939619016064,-9.489106106250001e-07,-0.0258211731386332,-1.189648204375e-06,-0.0323719767860942,-1.0046874999999999e-06,-0.027338939619016064,-5.551665505443227,18.409774618973575
30.0,-8.820301783264746e-08,-0.0024001263863059376,-8.330628131687244e-08,-0.00226687939763035,-1.0444099462277092e-07,-0.0028419842445953753,-8.820301783264746e-08,-0.0024001263863059376,-5.551665505443227,18.409774618973575
40.0,-1.5698242187499998e-08,-0.000427170931547126,-1.4826728291015626e-08,-0.0004034558302911438,-1.8588253193359376e-08,-0.0005058121372827219,-1.5698242187499998e-08,-0.000427170931547126,-5.551665505443227,18.409774618973575
