basis,sum_f_mo_over_N,sum_f_mo,N_electrons,alpha0,C6,alpha0_error_pct,C6_error_pct,n_occ,n_virt,n_channels
cc-pVTZ,0.8609072285380849,15.496330113685527,18.0,6.90771514,47.83814083,-37.76833207207207,-25.601647231726282,9,25,225
aug-cc-pVTZ,0.8044580756392032,14.48024536150566,18.0,9.89031555,74.9286266,-10.898058108108101,16.52974587869363,9,41,369
aug-cc-pVQZ,0.9407002513817476,16.932604524871458,18.0,10.08052334,76.13748508,-9.184474414414419,18.409774618973575,9,75,675
