basis,alpha0,C6,n_channels,N_core,sum_osc_discrete,sum_osc_residual,sum_osc_total,sum_osc_discrete_over_N_core,sum_osc_total_over_N_core,invalid_for_prediction,invalid_reason,3p_to_3d_delta,3p_to_3d_osc,3p_to_3d_alpha_fraction,3p_to_3d_c6_fraction,residual_fraction,residual_c6_fraction
cc-pVTZ,8.33825812,69.57852657,15,18.0,15.496330113652,2.503669886348,18.0,0.8609072285362223,1.0,False,,1.319016505226,10.080958493593,0.6949059515920946,0.6908617752160809,0.1715637684240472,0.17082049851373102
aug-cc-pVTZ,11.90142745,113.38869371,22,18.0,14.480245361531999,3.519754638468,18.0,0.8044580756406666,1.0,False,,1.000288397006,7.488679638728,0.6288625554151255,0.6081159062341202,0.16898073036132186,0.1872898004133614
d-aug-cc-pVTZ-local,12.03076348,113.73721169,29,18.0,14.545215295992,3.454784704008,18.0,0.808067516444,1.0,False,,0.795683347561,1.795816916351,0.2357698848635515,0.20310443164579245,0.1640784882252804,0.18344859700785945
aug-cc-pVQZ,11.35263721,109.02330349,32,18.0,30.812649528759998,0,30.812649528759998,1.7118138627088888,1.7118138627088888,True,sum_osc_discrete/N_core=1.711814,0.905417922239,4.986998670046,0.535851337499725,0.4743125623308246,0.0,0.0
