basis,nstates_requested,nstates_returned,n_channels,sum_osc,alpha0,C6,alpha0_error_pct,C6_error_pct
cc-pVTZ,100,100,18,8.442671356675124,6.53770568,35.0218793,-41.10175063063063,-45.53362472783825
aug-cc-pVTZ,100,100,18,6.728743589498194,10.38202084,59.74814622,-6.468280720720725,-7.079088304821142
aug-cc-pVQZ,100,100,18,6.406913388752976,10.60784482,59.955616,-4.4338304504504435,-6.75642923794712
