atom,from_orbital,to_orbital,d2
Ar,1s,4p,0.000077446871
Ar,1s,5p,0.000635861420
Ar,2s,4p,0.003338588767
Ar,2s,5p,0.017096059234
Ar,3s,4p,0.027539709084
Ar,3s,5p,0.072392587656
Ar,2p,4s,0.001158470899
Ar,2p,5s,0.002424064111
Ar,2p,3d,0.008678241828
Ar,2p,4d,0.032960576264
Ar,3p,4s,0.321675278098
Ar,3p,5s,0.000472268475
Ar,3p,3d,1.910696047709
Ar,3p,4d,0.047540264454
