atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Ar,3p_to_3d,1.319016505226,10.080958493593,5.79430519675451,0.6949059515920946,33.21346811597566,0.47735227741826314,48.06914438072346,0.6908617752160809,False
Ar,missing_core_continuum,1.322933690978,2.503669886348,1.4305429859633296,0.1715637684240472,2.0304914483856225,0.029182731348039236,11.885438593958213,0.17082049851373102,True
Ar,3p_to_4s,1.296922075999,1.668751077874,0.9921190611248861,0.11898397078735266,0.9574205246812223,0.013760287432426854,8.160413031001246,0.11728349871263324,False
Ar,3p_to_4d,3.137490546981,0.596628521302,0.06060928470337688,0.007268818474682204,0.008644144269504663,0.00012423580515505788,0.7114349466542456,0.010224921132430455,False
Ar,3s_to_5p,4.18498027544,0.403948735238,0.02306425451381054,0.0027660758600805226,0.0016696810666117646,2.399707422682281e-05,0.2929660885343629,0.004210581956689185,False
Ar,3s_to_4p,1.826658705149,0.067074199114,0.0201020650483043,0.002410823069724112,0.0005536050234172904,7.956549969297647e-06,0.19398994361341867,0.002788072027189614,False
Ar,2p_to_4d,12.11727682325,1.597569707379,0.010880522660259278,0.0013048915609902346,0.001075884890807025,1.5462886955174757e-05,0.16518070049416944,0.0023740183738448347,False
Ar,2p_to_3d,10.298802781495,0.357502004307,0.0033705827802038217,0.0004042310431990003,8.775219740376079e-05,1.2611965463189243e-06,0.05024105745512824,0.0007220770535724819,False
Ar,2s_to_5p,15.22946717438,0.347151830554,0.0014967526693043943,0.00017950423780638218,2.5588572293079716e-05,3.677653660657068e-07,0.02322323409044173,0.00033377013335013963,False
Ar,2p_to_5s,14.97267171814,0.145178864631,0.0006475969437210394,7.766573474187454e-05,4.709449529005272e-06,6.768538745207745e-08,0.010033126928015763,0.00014419861159910486,False
Ar,2p_to_4s,10.276708352268,0.047621070254,0.0004509112681915761,5.4077393797236117e-05,1.567102746678547e-06,2.2522792936387256e-08,0.006719427432440045,9.657329299734242e-05,False
Ar,2s_to_4p,12.871145604089,0.057295282843,0.00034584735704651875,4.147717087609326e-05,1.1546421013326102e-06,1.6594805298547474e-08,0.0052829546200182315,7.592794617404133e-05,False
Ar,3p_to_5s,5.992885441871,0.011321003474,0.0003152194244884748,3.7803989727218445e-05,4.466045906834728e-07,6.418712966793847e-09,0.00432717114187555,6.219118678423512e-05,False
Ar,1s_to_5p,121.51777574558,0.103024620588,6.9768823652897805e-06,8.367313965293719e-07,4.43633032797615e-09,6.376004993048338e-11,0.00011733902480494325,1.6864258356005877e-06,False
Ar,1s_to_4p,119.159454175289,0.012304702501,8.665908666599955e-07,1.0392948427616208e-07,6.711475105858457e-11,9.645900016916684e-13,1.457093241088807e-05,2.0941708785597814e-07,False
