atom,channel,delta_Ha,d2,osc,is_core
Ar,1s_to_4p,119.159454175289,0.000077446871,0.012304702501,true
Ar,1s_to_5p,121.517775745580,0.000635861420,0.103024620588,true
Ar,2s_to_4p,12.871145604089,0.003338588767,0.057295282843,true
Ar,2s_to_5p,15.229467174380,0.017096059234,0.347151830554,true
Ar,3s_to_4p,1.826658705149,0.027539709084,0.067074199114,true
Ar,3s_to_5p,4.184980275440,0.072392587656,0.403948735238,true
Ar,2p_to_4s,10.276708352268,0.001158470899,0.047621070254,true
Ar,2p_to_5s,14.972671718140,0.002424064111,0.145178864631,true
Ar,2p_to_3d,10.298802781495,0.008678241828,0.357502004307,true
Ar,2p_to_4d,12.117276823250,0.032960576264,1.597569707379,true
Ar,3p_to_4s,1.296922075999,0.321675278098,1.668751077874,true
Ar,3p_to_5s,5.992885441871,0.000472268475,0.011321003474,true
Ar,3p_to_3d,1.319016505226,1.910696047709,10.080958493593,true
Ar,3p_to_4d,3.137490546981,0.047540264454,0.596628521302,true
Ar,missing_core_continuum,1.322933690978,,2.503669886348,true
