atom,orbital,r_bohr,R
Ar,1s,2.39759977835e-05,147.847436459
Ar,1s,2.41284094901e-05,147.847422729
Ar,1s,2.42817900543e-05,147.847408824
Ar,1s,2.4436145635e-05,147.847394741
Ar,1s,2.45914824302e-05,147.847380479
Ar,1s,2.47478066775e-05,147.847366035
Ar,1s,2.49051246537e-05,147.847351407
Ar,1s,2.5063442676e-05,147.847336593
Ar,1s,2.52227671014e-05,147.847321589
Ar,1s,2.53831043275e-05,147.847306395
Ar,1s,2.55444607926e-05,147.847291006
Ar,1s,2.57068429757e-05,147.847275421
Ar,1s,2.58702573973e-05,147.847259638
Ar,1s,2.6034710619e-05,147.847243653
Ar,1s,2.62002092444e-05,147.847227465
Ar,1s,2.63667599189e-05,147.84721107
Ar,1s,2.65343693303e-05,147.847194466
Ar,1s,2.67030442088e-05,147.84717765
Ar,1s,2.68727913274e-05,147.84716062
Ar,1s,2.70436175021e-05,147.847143373
Ar,1s,2.72155295924e-05,147.847125905
Ar,1s,2.73885345012e-05,147.847108216
Ar,1s,2.75626391755e-05,147.8470903
Ar,1s,2.77378506062e-05,147.847072156
Ar,1s,2.79141758289e-05,147.847053781
Ar,1s,2.80916219237e-05,147.847035172
Ar,1s,2.82701960158e-05,147.847016325
Ar,1s,2.84499052759e-05,147.846997238
Ar,1s,2.86307569198e-05,147.846977907
Ar,1s,2.88127582097e-05,147.84695833
Ar,1s,2.89959164536e-05,147.846938504
Ar,1s,2.91802390061e-05,147.846918425
Ar,1s,2.93657332686e-05,147.846898089
Ar,1s,2.95524066894e-05,147.846877495
Ar,1s,2.97402667642e-05,147.846856638
Ar,1s,2.99293210364e-05,147.846835515
Ar,1s,3.01195770973e-05,147.846814122
Ar,1s,3.03110425866e-05,147.846792457
Ar,1s,3.05037251924e-05,147.846770516
Ar,1s,3.06976326517e-05,147.846748295
Ar,1s,3.08927727506e-05,147.84672579
Ar,1s,3.1089153325e-05,147.846702999
Ar,1s,3.12867822603e-05,147.846679917
Ar,1s,3.14856674921e-05,147.846656541
Ar,1s,3.16858170066e-05,147.846632867
Ar,1s,3.18872388405e-05,147.846608891
Ar,1s,3.20899410819e-05,147.846584609
Ar,1s,3.229393187e-05,147.846560018
Ar,1s,3.2499219396e-05,147.846535113
Ar,1s,3.27058119031e-05,147.846509891
Ar,1s,3.29137176867e-05,147.846484347
Ar,1s,3.31229450952e-05,147.846458477
Ar,1s,3.33335025299e-05,147.846432278
Ar,1s,3.35453984457e-05,147.846405745
Ar,1s,3.3758641351e-05,147.846378873
Ar,1s,3.39732398084e-05,147.846351659
Ar,1s,3.41892024351e-05,147.846324098
Ar,1s,3.44065379027e-05,147.846296186
Ar,1s,3.46252549382e-05,147.846267917
Ar,1s,3.48453623241e-05,147.846239289
Ar,1s,3.50668688985e-05,147.846210295
Ar,1s,3.5289783556e-05,147.846180932
Ar,1s,3.55141152474e-05,147.846151194
Ar,1s,3.57398729807e-05,147.846121078
Ar,1s,3.59670658209e-05,147.846090577
Ar,1s,3.61957028909e-05,147.846059688
Ar,1s,3.64257933713e-05,147.846028405
Ar,1s,3.66573465013e-05,147.845996723
Ar,1s,3.68903715787e-05,147.845964637
Ar,1s,3.71248779604e-05,147.845932142
Ar,1s,3.73608750629e-05,147.845899233
Ar,1s,3.75983723624e-05,147.845865905
Ar,1s,3.78373793956e-05,147.845832151
Ar,1s,3.80779057594e-05,147.845797968
Ar,1s,3.83199611121e-05,147.845763348
Ar,1s,3.85635551732e-05,147.845728288
Ar,1s,3.8808697724e-05,147.84569278
Ar,1s,3.90553986081e-05,147.84565682
Ar,1s,3.93036677316e-05,147.845620402
