atom,basis,nstates,alpha0,C6,alpha0_err,C6_err,sum_osc,n_channels,status,note
Ne,aug-cc-pVTZ,100,2.17591624,5.03166514,-18.50500973782772,-21.133775235109713,6.720507336735142,18,ok,
Ne,aug-cc-pVTZ,200,2.1939421,5.18638262,-17.82988389513108,-18.708736363636365,9.03458555401608,36,ok,
Ne,aug-cc-pVTZ,300,2.1939421,5.18638262,-17.82988389513108,-18.708736363636365,9.034585554016083,36,ok,
Ne,aug-cc-pVQZ,100,2.28496574,5.11482642,-14.420758801498122,-19.830306896551722,5.90153089025082,18,ok,
Ne,aug-cc-pVQZ,200,2.32674262,5.45025099,-12.856081647940071,-14.572868495297808,7.777403013176794,27,ok,
Ne,aug-cc-pVQZ,300,2.32827312,5.46498488,-12.798759550561796,-14.341929780564257,8.295401042214714,36,ok,
Ne,aug-cc-pV5Z,100,2.27907527,4.87009293,-14.641375655430714,-23.666255015673975,5.198409413040844,18,ok,
Ne,aug-cc-pV5Z,200,2.35466106,5.43116779,-11.810447191011226,-14.871978213166143,7.254505539018505,27,ok,
Ne,aug-cc-pV5Z,300,2.35988684,5.47617368,-11.614725093632952,-14.166556739811917,7.617504096806835,30,ok,
