basis,nstates,C6_all,C6_valence_only,C6_valence_plus_semicore,Delta_C6_semicore,relative_semicore_contribution,note
cc-pVTZ,200,2757.89012035,2961.97018038,2758.59875672,-203.3714236599999,-0.07374167018452146,
cc-pVQZ,200,2759.50968121,2977.54172137,2761.47855857,-216.06316279999965,-0.07829766435363962,
cc-pVQZ-aug-local,200,2736.99041722,2978.46108011,2738.53953328,-239.9215468299999,-0.08765889179608148,local even-tempered diffuse augmentation; not official basis
