R_bohr,model,epsilon,kappa,C6,E_Ha,E_meV
8.0,yukawa,1.0,0.2,647.60794451,-0.0012375639544791757,-33.67583076944516
10.0,yukawa,1.0,0.2,647.60794451,-0.00023327328064470443,-6.347689340491809
12.0,yukawa,1.0,0.2,647.60794451,-5.380654554244823e-05,-1.4641506933179027
15.0,yukawa,1.0,0.2,647.60794451,-7.5396555247241946e-06,-0.2051644786449674
20.0,yukawa,1.0,0.2,647.60794451,-4.1073499707531414e-07,-0.011176668650161125
30.0,yukawa,1.0,0.2,647.60794451,-2.363408281605217e-09,-6.431161560772634e-05
40.0,yukawa,1.0,0.2,647.60794451,-2.0420025372395856e-11,-5.556571975611386e-07
