atom,shell,basis,Delta_E_Ha,occupation,Jc_Ha,f0,f0_over_delta,K_grid,fK_values,source
Mg,2s,cc-pVQZ,3.767710937326284,2.0,1.315562685573191,-1.2166937020206208,-0.32292649894315795,0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;4;4.1;4.2;4.3;4.4;4.5;4.6;4.7;4.8;4.9;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;6;6.1;6.2;6.3;6.4;6.5;6.6;6.7;6.8;6.9;7;7.1;7.2;7.3;7.4;7.5;7.6;7.7;7.8;7.9;8,-1.21669370202;-1.2054824802;-1.17541236211;-1.13419209148;-1.08785306619;-1.03764349389;-0.981484272248;-0.917322750548;-0.845184167113;-0.767095830551;-0.685935565728;-0.604382012296;-0.524426464039;-0.447349346112;-0.373909011011;-0.304555302027;-0.239584115667;-0.179219774525;-0.123643368008;-0.0729913350993;-0.0273433960446;0.0132887835262;0.0489671777065;0.0798262591682;0.106066213012;0.127942324006;0.145752361177;0.159823462167;0.170499608257;0.178130396933;0.183061506871;0.185627016094;0.186143568052;0.184906268306;0.182186123975;0.178228798924;0.173254442328;0.167458350738;0.161012239144;0.154065920726;0.146749224297;0.139174010015;0.131436175262;0.123617571906;0.11578778219;0.108005722545;0.100321062335;0.0927754580987;0.0854036134054;0.078234180669;0.0712905245855;0.0645913679824;0.0581513403294;0.0519814475061;0.0460894790896;0.0404803667835;0.0351565049286;0.0301180415138;0.0253631458649;0.0208882572972;0.0166883174989;0.0127569882504;0.00908685525594;0.00566961831718;0.00249626776138;-0.000442753091467;-0.00315739963932;-0.0056578920087;-0.00795459533836;-0.0100579141334;-0.0119782003055;-0.0137256743462;-0.0153103589303;-0.0167420241281;-0.018030143314;-0.0191838588031;-0.0202119562161;-0.0211228465721;-0.0219245551276;-0.0226247160209;-0.0232305718309,PRL_SCALAR_WILSON_KOOPMANS_HF
Ca,3s,cc-pVQZ,2.2453702554379524,2.0,0.777256693438574,-1.114565243342333,-0.496383721412102,0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;3;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;4;4.1;4.2;4.3;4.4;4.5;4.6;4.7;4.8;4.9;5;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;6;6.1;6.2;6.3;6.4;6.5;6.6;6.7;6.8;6.9;7;7.1;7.2;7.3;7.4;7.5;7.6;7.7;7.8;7.9;8,-1.11456524334;-1.09817248057;-1.05337761944;-0.988531545357;-0.908701054759;-0.815232810043;-0.709997113265;-0.597513282872;-0.483625646995;-0.373498120563;-0.270745297626;-0.177573385537;-0.0952292896019;-0.0243474164066;0.0348784316645;0.0826285665681;0.119419846828;0.146056839662;0.163563536224;0.173103603825;0.175901011905;0.173170538473;0.16606351064;0.155630351893;0.142798850243;0.128365551917;0.112997084642;0.0972382370687;0.0815240171224;0.0661934886505;0.0515038031922;0.0376434107972;0.0247438995114;0.0128902583866;0.00212958736373;-0.00752159318531;-0.0160712260584;-0.0235465827379;-0.0299899244134;-0.0354548091925;-0.0400029342623;-0.0437014343613;-0.0466205822707;-0.0488318529291;-0.0504063214983;-0.0514133691766;-0.0519196707525;-0.0519884365203;-0.0516788794979;-0.0510458777215;-0.0501398011573;-0.0490064735726;-0.0476872414748;-0.0462191247314;-0.044635026488;-0.0429639832446;-0.0412314392179;-0.0394595322318;-0.0376673812296;-0.0358713679983;-0.0340854078272;-0.0323212055687;-0.030588494967;-0.0288952601928;-0.0272479393249;-0.0256516100891;-0.0241101585502;-0.0226264316968;-0.0212023749892;-0.0198391559974;-0.0185372752533;-0.0172966654076;-0.0161167797199;-0.0149966708448;-0.0139350607983;-0.0129304029197;-0.0119809365715;-0.0110847352543;-0.0102397487578;-0.00944383991094;-0.00869481645034,PRL_SCALAR_WILSON_KOOPMANS_HF
