case,C6_PSP,C6_PSP_EFT,C6_all_e,closure_pct,double_counting_status,note
Mg_q2,638.62015545,647.69960692,647.58810040,101.243390,clean,"strongest clean benchmark; matched q2 PSP/basis; explicit 3s, EFT 2s/2p; regenerated by run_mg_q2_clean_benchmark.py"
Sn_q4_TDDFT150,474.08122525,566.13515462,576.98408849,89.45711421743905,clean,"strongest official-matched secondary candidate so far; matched q4 PSP/basis; explicit 5s/5p, EFT 4d; all-electron ANO TDDFT nstates=150; TDA reference remains a caveat"
Ca_q2_PBE_adapted,1496.31224087,1658.03166276,2206.75882541,22.763065571595366,clean,Ca q2 PBE diagnostic using official UZH GTH-PBE-q2 pseudo with q10 UZH basis as an explicitly adapted q2 candidate.
Ge_q4_augQZ200,306.65944141,317.45391425,375.57206997,15.663998116980302,clean,"official-matched control; matched q4 PSP/basis; explicit 4s/4p, EFT 3d; all-electron aug-cc-pVQZ nstates=200"
Be_q2,209.84599821,210.87562603,256.41610946,2.210919820381581,clean,"Clean Be q2 diagnostic; local CP2K data has LDA/PADE q2 pseudo, not PBE q2 pseudo."
Kr_q8,66.35553987,69.27712206,134.64958004,4.277946044380282,clean,Clean q8 noble-gas benchmark; correction excludes explicit 4s/4p PSP valence.
Ca_q10,1424.67308305,1425.30863004,2206.75882541,0.08126308351845891,clean,"Clean deep-core diagnostic; Ca q10 keeps 3s/3p/4s explicit, so semicore EFT is excluded."
