atom,dimer,workflow_status,pseudo_name,basis_label,basis_block_name,basis_file,pseudo_file,candidate_status,active_electrons,active_shells,expected_active_shells,correction_shells,target_audit_status,note
Zn,Zn2,candidate_ready,GTH-LDA-q2,TZV2P-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZV2P-MOLOPT-PBE-GTH-q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,tddft_smoke_ok,2,4s,4s,3d,pass,nelectron=2; nao=41; tddft_states=3; Zn q12 UZH TZV2P basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Cd,Cd2,candidate_ready,GTH-LDA-q2,QZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,QZVPP-MOLOPT-PBE-GTH-q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,tddft_smoke_ok,2,5s,5s,4d,pass,nelectron=2; nao=88; tddft_states=3; Cd q20 UZH QZVPP basis tested as a q2 candidate only; not library-native matched q2.
