R_bohr,model,epsilon,kappa,C6,E_Ha,E_meV
8.0,bare,1.0,0.0,647.60794451,-0.002470428255119324,-67.2237774430541
10.0,bare,1.0,0.0,647.60794451,-0.0006476079445100001,-17.622309914031977
12.0,bare,1.0,0.0,647.60794451,-0.00021688259029854144,-5.901675934643981
15.0,bare,1.0,0.0,647.60794451,-5.685446975122087e-05,-1.5470889362113123
20.0,bare,1.0,0.0,647.60794451,-1.0118874132968751e-05,-0.27534859240674964
30.0,bare,1.0,0.0,647.60794451,-8.88351089862826e-07,-0.024173264628301754
40.0,bare,1.0,0.0,647.60794451,-1.5810740832763674e-07,-0.004302321756355463
