atom,max_delta_Ha,n_channels,sum_osc,C6_psp,C6_psp_plus_cutoff,Delta_C6_cutoff
Ca,5.0,65,8.960577713562,1972.55991054,2149.50211319,176.9422026499999
Ca,10.0,65,8.960577713562,1972.55991054,2149.50211319,176.9422026499999
Ca,20.0,65,8.960577713562,1972.55991054,2149.50211319,176.9422026499999
Ca,50.0,65,8.960577713562,1972.55991054,2149.50211319,176.9422026499999
Mg,5.0,51,3.062028399965,638.62015545,647.24908362,8.628928169999995
Mg,10.0,54,3.422868456113,638.62015545,647.60794451,8.987789060000068
Mg,20.0,54,3.422868456113,638.62015545,647.60794451,8.987789060000068
Mg,50.0,54,3.422868456113,638.62015545,647.60794451,8.987789060000068
