atom,state,q,delta_Ha,tau_q_real,tau_q_imag,F_q_real,F_q_imag,dipole_from_tau_z,osc,source
Mg,29,0.0005,2.5565392407827767,0.0,7.008142536272064e-06,0.0,352.2676657161993,0.014016285072544127,0.012241515641669622,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,29,0.001,2.5565392407827767,0.0,1.4016285072544127e-05,0.0,176.13383285809965,0.014016285072544127,0.012241515641669622,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,30,0.0001,2.556539240783023,0.0,7.101363161799929e-06,0.0,8923.836135833535,0.07101363161799928,0.012241515641676278,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,30,0.0002,2.556539240783023,0.0,1.4202726323599857e-05,0.0,4461.9180679167675,0.07101363161799928,0.012241515641676278,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,30,0.0005,2.556539240783023,0.0,3.550681580899964e-05,0.0,1784.7672271667072,0.07101363161799928,0.012241515641676278,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,30,0.001,2.556539240783023,0.0,7.101363161799928e-05,0.0,892.3836135833536,0.07101363161799928,0.012241515641676278,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,52,0.0001,2.728950312908924,-0.0,-1.7981070982415131e-06,0.0,-2259.568020081279,-0.01798107098241513,0.06748973170026346,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,52,0.0002,2.728950312908924,-0.0,-3.5962141964830263e-06,0.0,-1129.7840100406395,-0.01798107098241513,0.06748973170026346,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,52,0.0005,2.728950312908924,-0.0,-8.990535491207566e-06,0.0,-451.9136040162559,-0.01798107098241513,0.06748973170026346,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,52,0.001,2.728950312908924,-0.0,-1.7981070982415132e-05,0.0,-225.95680200812794,-0.01798107098241513,0.06748973170026346,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,53,0.0001,2.7289503129089363,0.0,1.0357176106298851e-05,0.0,13015.211346993683,0.1035717610629885,0.06748973170032035,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,53,0.0002,2.7289503129089363,0.0,2.0714352212597702e-05,0.0,6507.6056734968415,0.1035717610629885,0.06748973170032035,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,53,0.0005,2.7289503129089363,0.0,5.178588053149425e-05,0.0,2603.042269398736,0.1035717610629885,0.06748973170032035,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,53,0.001,2.7289503129089363,0.0,0.0001035717610629885,0.0,1301.521134699368,0.1035717610629885,0.06748973170032035,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,54,0.0001,2.7289503129089554,-0.0,-1.6138805782116724e-05,0.0,-20280.62147312415,-0.16138805782116725,0.06748973170026702,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,54,0.0002,2.7289503129089554,-0.0,-3.227761156423345e-05,0.0,-10140.310736562074,-0.16138805782116725,0.06748973170026702,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,54,0.0005,2.7289503129089554,-0.0,-8.069402891058363e-05,0.0,-4056.1242946248303,-0.16138805782116725,0.06748973170026702,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,54,0.001,2.7289503129089554,-0.0,-0.00016138805782116725,0.0,-2028.0621473124152,-0.16138805782116725,0.06748973170026702,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,76,0.0001,2.7488195295534905,-0.0,-2.467263980181716e-06,0.0,-3100.455357842237,-0.024672639801817157,0.004086356505416585,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,76,0.0002,2.7488195295534905,-0.0,-4.934527960363432e-06,0.0,-1550.2276789211185,-0.024672639801817157,0.004086356505416585,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,76,0.0005,2.7488195295534905,-0.0,-1.2336319900908579e-05,0.0,-620.0910715684473,-0.024672639801817157,0.004086356505416585,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,76,0.001,2.7488195295534905,-0.0,-2.4672639801817158e-05,0.0,-310.04553578422366,-0.024672639801817157,0.004086356505416585,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,77,0.0001,2.748819529553496,0.0,3.956811591285489e-06,0.0,4972.276090728573,0.03956811591285489,0.004086356505420122,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,77,0.0002,2.748819529553496,0.0,7.913623182570979e-06,0.0,2486.1380453642864,0.03956811591285489,0.004086356505420122,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,77,0.0005,2.748819529553496,0.0,1.9784057956427444e-05,0.0,994.4552181457144,0.03956811591285489,0.004086356505420122,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,77,0.001,2.748819529553496,0.0,3.956811591285489e-05,0.0,497.2276090728572,0.03956811591285489,0.004086356505420122,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
