atom,shell,n_channels,sum_osc,C6_psp,C6_psp_plus_shell,Delta_C6_shell
Ca,3p,53,8.578174687719,1972.55991054,2147.71271071,175.1528001700001
Ca,3s,12,0.382403025843,1972.55991054,1974.04306147,1.4831509300001926
Mg,2p,42,3.2209657736210002,638.62015545,647.26168486,8.641529409999976
Mg,2s,12,0.201902682492,638.62015545,638.95215342,0.3319979699999749
