element,q,basis_count,pseudo_count,basis_examples,pseudo_examples
Mg,2,8,5,DZVP-MOLOPT-SR-GTH-q2;GTH-BLYP-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2;SZV-MOLOPT-SR-GTH-q2;TZV2P-MOLOPT-SR-GTH-q2;TZVP-MOLOPT-SR-GTH-q2,GTH-BLYP-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2;GTH2-HF-q2
Na,1,15,6,DZVP-MOLOPT-MGGA-GTH-q1;DZVP-MOLOPT-SCAN-GTH-q1;GTH-BLYP-q1;GTH-BP-q1;GTH-LDA-q1;GTH-PADE-q1;GTH-PBE-q1;TZV2P-MOLOPT-GGA-GTH-q1,GTH-BLYP-q1;GTH-BP-q1;GTH-LDA-q1;GTH-PADE-q1;GTH-PBE-q1;GTH2-HF-q1
Pb,4,26,5,DZVP-MOLOPT-GGA-GTH-q4;DZVP-MOLOPT-HYB-GTH-q4;DZVP-MOLOPT-MGGA-GTH-q4;DZVP-MOLOPT-PBE-GTH-q4;DZVP-MOLOPT-PBE0-GTH-q4;DZVP-MOLOPT-SCAN-GTH-q4;DZVP-MOLOPT-SR-GTH-q4;GTH-BLYP-q4,GTH-BLYP-q4;GTH-LDA-q4;GTH-PADE-q4;GTH-PBE-q4;GTH2-HF-q4
Rb,1,2,3,GTH-LDA-q1;GTH-PADE-q1,GTH-LDA-q1;GTH-PADE-q1;GTH2-HF-q1
Sc,3,2,3,GTH-LDA-q3;GTH-PADE-q3,GTH-LDA-q3;GTH-PADE-q3;GTH2-HF-q3
Si,4,41,6,DZVP-GTH-q4;DZVP-MOLOPT-GGA-GTH-q4;DZVP-MOLOPT-GTH-q4;DZVP-MOLOPT-HYB-GTH-q4;DZVP-MOLOPT-MGGA-GTH-q4;DZVP-MOLOPT-PBE-GTH-q4;DZVP-MOLOPT-PBE0-GTH-q4;DZVP-MOLOPT-SCAN-GTH-q4,GTH-BLYP-q4;GTH-BP-q4;GTH-LDA-q4;GTH-PADE-q4;GTH-PBE-q4;GTH2-HF-q4
Sn,4,25,4,DZVP-MOLOPT-GGA-GTH-q4;DZVP-MOLOPT-HYB-GTH-q4;DZVP-MOLOPT-MGGA-GTH-q4;DZVP-MOLOPT-PBE-GTH-q4;DZVP-MOLOPT-PBE0-GTH-q4;DZVP-MOLOPT-SCAN-GTH-q4;DZVP-MOLOPT-SR-GTH-q4;GTH-LDA-q4,GTH-LDA-q4;GTH-PADE-q4;GTH-PBE-q4;GTH2-HF-q4
Sr,2,4,5,GTH-GGA-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2,GTH-GGA-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2;GTH2-HF-q2
Ti,4,2,3,GTH-LDA-q4;GTH-PADE-q4,GTH-LDA-q4;GTH-PADE-q4;GTH2-HF-q4
Tl,3,3,4,GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3,GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3;GTH2-HF-q3
Y,3,2,3,GTH-LDA-q3;GTH-PADE-q3,GTH-LDA-q3;GTH-PADE-q3;GTH2-HF-q3
Zn,2,2,3,GTH-LDA-q2;GTH-PADE-q2,GTH-LDA-q2;GTH-PADE-q2;GTH2-HF-q2
Zr,4,2,3,GTH-LDA-q4;GTH-PADE-q4,GTH-LDA-q4;GTH-PADE-q4;GTH2-HF-q4
