R_bohr,model,epsilon,kappa,C6,E_Ha,E_meV
8.0,dielectric,2.0,0.0,647.60794451,-0.000617607063779831,-16.805944360763526
10.0,dielectric,2.0,0.0,647.60794451,-0.00016190198612750002,-4.405577478507994
12.0,dielectric,2.0,0.0,647.60794451,-5.422064757463536e-05,-1.4754189836609952
15.0,dielectric,2.0,0.0,647.60794451,-1.4213617437805217e-05,-0.38677223405282807
20.0,dielectric,2.0,0.0,647.60794451,-2.5297185332421878e-06,-0.06883714810168741
30.0,dielectric,2.0,0.0,647.60794451,-2.220877724657065e-07,-0.0060433161570754386
40.0,dielectric,2.0,0.0,647.60794451,-3.9526852081909184e-08,-0.0010755804390888658
