atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Sn,rpa_022,0.242691659878,0.911669722683,15.478462798823248,0.2733587821833079,43.6085624897114,0.07651108999852924,157.6447575570271,0.27658724673824586,False
Sn,rpa_020,0.236310698012,0.74613697969,13.36139486689809,0.235970113864488,31.64085744203074,0.05551378796191703,134.27268891466082,0.2355810235276141,False
Sn,rpa_021,0.236313708387,0.746107917274,13.360534030425473,0.2359549109846625,31.637183536082198,0.05550734210512591,134.26490331384954,0.235567363714716,False
Sn,rpa_002,0.174282050765,0.117837161893,3.879510670901663,0.06851444657317333,1.9672874730330006,0.0034515998764627744,33.04671440603678,0.05798035972115588,False
Sn,rpa_003,0.174291434531,0.11784709369,3.8794198860017257,0.06851284325829575,1.967301319190044,0.003451624169503113,33.04697232484021,0.057980812238910544,False
Sn,rpa_071,0.440768672922,0.210385782946,1.082916444082734,0.01912494310373248,0.38766971988347304,0.0006801653421780865,14.234745973519388,0.02497481843257501,False
Sn,rpa_072,0.440771218565,0.210364494383,1.0827943583819517,0.019122786998250842,0.38758455315553664,0.0006800159174134531,14.233170588311697,0.024972054424028833,False
Sn,rpa_070,0.430614573591,0.19806817131,1.0681622960175494,0.01886437614694413,0.36848895557022177,0.0006465127496406006,13.923362948928954,0.024428497864817843,False
Sn,rpa_005,0.178153288567,0.026627162436,0.8389521679933023,0.014816390098513547,0.09404365686795978,0.00016499930939280292,7.237583900346886,0.01269831889785394,False
Sn,rpa_004,0.178153071988,0.026578231639,0.8374125227650797,0.014789199055704486,0.09369868180949008,0.00016439405170397058,7.224296440288894,0.012675006089673466,False
Sn,rpa_056,0.394572112729,0.056946539993,0.36577546193752736,0.006459810391208937,0.03959285191422566,6.946553803103376e-05,4.614911715280975,0.00809684854130275,False
Sn,rpa_055,0.394566506885,0.056933668053,0.3657031750048589,0.006458533761343371,0.03957664197608207,6.943709774395786e-05,4.613974582076854,0.008095204343951874,False
