atom,channel,delta_Ha,d2,osc,is_core
Ar,1s_to_4p,118.648405624169,0.000000686559,0.000108612174,true
Ar,1s_to_5p,118.787149044618,0.000013402351,0.002122702754,true
Ar,1s_to_6p,119.364069477864,0.000082552453,0.013138395647,true
Ar,1s_to_7p,121.681378652610,0.000631846664,0.102511964230,true
Ar,2s_to_4p,12.359465310469,0.000025169154,0.000414769714,true
Ar,2s_to_5p,12.498208730918,0.000566731343,0.009444168826,true
Ar,2s_to_6p,13.075129164164,0.003514438823,0.061268988734,true
Ar,2s_to_7p,15.392438338910,0.016569722860,0.340064583221,true
Ar,3s_to_4p,1.314200766969,0.000134381690,0.000235472693,true
Ar,3s_to_5p,1.452944187418,0.001240618094,0.002403398465,true
Ar,3s_to_6p,2.029864620664,0.036049688665,0.097567983476,true
Ar,3s_to_7p,4.347173795410,0.062979736422,0.365045146421,true
Ar,2p_to_4s,9.611896169141,0.000034169498,0.001313734668,true
Ar,2p_to_5s,9.812831598203,0.000211704280,0.008309673793,true
Ar,2p_to_6s,10.760908200340,0.001219758811,0.052502850367,true
Ar,2p_to_7s,15.802914066930,0.002150279446,0.135922725220,true
Ar,2p_to_3d,9.776441671745,0.000137138561,0.005362908570,true
Ar,2p_to_4d,10.102230699799,0.003700940871,0.149551033941,true
Ar,2p_to_5d,10.776508923830,0.010381658565,0.447512144680,true
Ar,2p_to_6d,12.608651066080,0.029269873630,1.476214493396,true
Ar,3p_to_4s,0.631137844957,0.068186425563,0.172140134741,true
Ar,3p_to_5s,0.832073274019,0.195261112446,0.649886212486,true
Ar,3p_to_6s,1.780149876156,0.089816022513,0.639543925413,true
Ar,3p_to_7s,6.822155742746,0.004030411231,0.109984372501,true
Ar,3p_to_3d,0.795683347561,0.564237306793,1.795816916351,true
Ar,3p_to_4d,1.121472375615,1.457173755355,6.536720452407,true
Ar,3p_to_5d,1.795750599646,0.167641744569,1.204171053342,true
Ar,3p_to_6d,3.627892741896,0.011434770097,0.165936477761,true
Ar,missing_core_continuum,1.322933690978,,3.454784704008,true
