case,charge,spin,nelectron,nao,scf_converged,e_tot_Ha,homo_Ha,lumo_Ha,gap_Ha,audit_status,note
Ca,0,0,2,23,True,-0.6291787354756349,-0.1286736878935345,-0.039097083983968876,0.08957660390956562,pass,
Ca_plus,1,1,1,23,True,-0.41654151461322825,-0.3378395449167175,-0.24674784999930283,0.0910916949174147,pass,
