case,charge,spin,nelectron,nao,scf_converged,e_tot_Ha,homo_Ha,lumo_Ha,gap_Ha,audit_status,note
Sr,0,0,2,23,True,-0.590382771966116,-0.12616463571197378,-0.04439844636285617,0.08176618934911761,pass,
Sr_plus,1,1,1,23,True,-0.38816955413542586,-0.315367702142457,-0.2537632983781426,0.06160440376431442,pass,
