atom,psp,basis,xc,nstates,method,active_electrons,active_shells,alpha0_psp,C6_psp,n_channels,status,note
Zn,GTH-LDA-q2,TZV2P-MOLOPT-PBE-GTH-q12,lda,100,TDDFT,2,4s,37.73690531,244.46353337,9,ok,
Cd,GTH-LDA-q2,QZVPP-MOLOPT-PBE-GTH-q20,lda,100,TDDFT,2,5s,37.43552126,271.0878142,15,ok,
