atom,orbital,r_bohr,u
Ar,1s,2.23616906307e-05,0.003311707632
Ar,1s,2.25038404366e-05,0.00333275928864
Ar,1s,2.26468938668e-05,0.00335394476057
Ar,1s,2.27908566655e-05,0.0033752648983
Ar,1s,2.29357346134e-05,0.00339672055772
Ar,1s,2.30815335281e-05,0.00341831260026
Ar,1s,2.32282592638e-05,0.00344004189267
Ar,1s,2.33759177124e-05,0.0034619093073
Ar,1s,2.35245148028e-05,0.00348391572207
Ar,1s,2.3674056502e-05,0.00350606202041
Ar,1s,2.38245488146e-05,0.00352834909136
Ar,1s,2.39759977835e-05,0.00355077782966
Ar,1s,2.41284094901e-05,0.00357334913575
Ar,1s,2.42817900543e-05,0.00359606391568
Ar,1s,2.4436145635e-05,0.00361892308139
Ar,1s,2.45914824302e-05,0.0036419275505
Ar,1s,2.47478066775e-05,0.00366507824658
Ar,1s,2.49051246537e-05,0.00368837609892
Ar,1s,2.5063442676e-05,0.00371182204288
Ar,1s,2.52227671014e-05,0.00373541701961
Ar,1s,2.53831043275e-05,0.00375916197634
Ar,1s,2.55444607926e-05,0.00378305786631
Ar,1s,2.57068429757e-05,0.00380710564873
Ar,1s,2.58702573973e-05,0.00383130628901
Ar,1s,2.6034710619e-05,0.00385566075861
Ar,1s,2.62002092444e-05,0.00388017003525
Ar,1s,2.63667599189e-05,0.00390483510277
Ar,1s,2.65343693303e-05,0.00392965695132
Ar,1s,2.67030442088e-05,0.00395463657731
Ar,1s,2.68727913274e-05,0.00397977498353
Ar,1s,2.70436175021e-05,0.00400507317905
Ar,1s,2.72155295924e-05,0.00403053217942
Ar,1s,2.73885345012e-05,0.00405615300665
Ar,1s,2.75626391755e-05,0.0040819366892
Ar,1s,2.77378506062e-05,0.00410788426206
Ar,1s,2.79141758289e-05,0.00413399676685
Ar,1s,2.80916219237e-05,0.00416027525172
Ar,1s,2.82701960158e-05,0.00418672077157
Ar,1s,2.84499052759e-05,0.00421333438798
Ar,1s,2.86307569198e-05,0.00424011716919
Ar,1s,2.88127582097e-05,0.00426707019035
Ar,1s,2.89959164536e-05,0.00429419453337
Ar,1s,2.91802390061e-05,0.004321491287
Ar,1s,2.93657332686e-05,0.00434896154698
Ar,1s,2.95524066894e-05,0.00437660641598
Ar,1s,2.97402667642e-05,0.00440442700366
Ar,1s,2.99293210364e-05,0.00443242442674
Ar,1s,3.01195770973e-05,0.00446059980903
Ar,1s,3.03110425866e-05,0.0044889542815
Ar,1s,3.05037251924e-05,0.00451748898227
Ar,1s,3.06976326517e-05,0.00454620505672
Ar,1s,3.08927727506e-05,0.00457510365743
Ar,1s,3.1089153325e-05,0.00460418594443
Ar,1s,3.12867822603e-05,0.00463345308503
Ar,1s,3.14856674921e-05,0.00466290625392
Ar,1s,3.16858170066e-05,0.00469254663337
Ar,1s,3.18872388405e-05,0.00472237541304
Ar,1s,3.20899410819e-05,0.00475239379022
Ar,1s,3.229393187e-05,0.00478260296977
Ar,1s,3.2499219396e-05,0.00481300416422
Ar,1s,3.27058119031e-05,0.00484359859382
Ar,1s,3.29137176867e-05,0.00487438748646
Ar,1s,3.31229450952e-05,0.004905372078
Ar,1s,3.33335025299e-05,0.00493655361197
Ar,1s,3.35453984457e-05,0.00496793333996
Ar,1s,3.3758641351e-05,0.00499951252139
Ar,1s,3.39732398084e-05,0.00503129242376
Ar,1s,3.41892024351e-05,0.00506327432255
Ar,1s,3.44065379027e-05,0.00509545950134
Ar,1s,3.46252549382e-05,0.00512784925193
Ar,1s,3.48453623241e-05,0.00516044487432
Ar,1s,3.50668688985e-05,0.00519324767663
Ar,1s,3.5289783556e-05,0.0052262589755
Ar,1s,3.55141152474e-05,0.0052594800957
Ar,1s,3.57398729807e-05,0.00529291237063
Ar,1s,3.59670658209e-05,0.00532655714198
Ar,1s,3.61957028909e-05,0.00536041576006
Ar,1s,3.64257933713e-05,0.00539448958373
Ar,1s,3.66573465013e-05,0.00542877998049
Ar,1s,3.68903715787e-05,0.00546328832643
Ar,1s,3.71248779604e-05,0.00549801600656
Ar,1s,3.73608750629e-05,0.00553296441447
Ar,1s,3.75983723624e-05,0.00556813495282
Ar,1s,3.78373793956e-05,0.00560352903296
Ar,1s,3.80779057594e-05,0.00563914807535
Ar,1s,3.83199611121e-05,0.00567499350942
Ar,1s,3.85635551732e-05,0.00571106677366
Ar,1s,3.8808697724e-05,0.0057473693157
Ar,1s,3.90553986081e-05,0.00578390259235
Ar,1s,3.93036677316e-05,0.00582066806974
Ar,1s,3.95535150634e-05,0.0058576672232
Ar,1s,3.9804950636e-05,0.00589490153746
Ar,1s,4.00579845456e-05,0.00593237250674
Ar,1s,4.03126269527e-05,0.0059700816347
Ar,1s,4.05688880821e-05,0.00600803043449
Ar,1s,4.08267782238e-05,0.00604622042897
Ar,1s,4.10863077332e-05,0.00608465315054
Ar,1s,4.13474870316e-05,0.00612333014147
Ar,1s,4.16103266063e-05,0.00616225295367
Ar,1s,4.18748370116e-05,0.00620142314906
Ar,1s,4.21410288685e-05,0.00624084229936
Ar,1s,4.24089128658e-05,0.00628051198626
Ar,1s,4.26784997603e-05,0.00632043380153
Ar,1s,4.29498003769e-05,0.00636060934712
Ar,1s,4.32228256096e-05,0.00640104023494
Ar,1s,4.34975864213e-05,0.00644172808734
Ar,1s,4.37740938451e-05,0.00648267453684
Ar,1s,4.40523589837e-05,0.00652388122635
Ar,1s,4.43323930107e-05,0.00656534980922
Ar,1s,4.46142071707e-05,0.00660708194928
Ar,1s,4.48978127797e-05,0.006649079321
Ar,1s,4.51832212257e-05,0.00669134360927
Ar,1s,4.54704439689e-05,0.00673387650989
Ar,1s,4.57594925427e-05,0.00677667972931
Ar,1s,4.60503785535e-05,0.00681975498478
Ar,1s,4.63431136817e-05,0.00686310400456
Ar,1s,4.66377096817e-05,0.00690672852774
Ar,1s,4.6934178383e-05,0.00695063030461
Ar,1s,4.72325316898e-05,0.00699481109637
Ar,1s,4.75327815825e-05,0.00703927267552
Ar,1s,4.78349401172e-05,0.00708401682573
Ar,1s,4.8139019427e-05,0.00712904534215
Ar,1s,4.84450317219e-05,0.00717436003108
Ar,1s,4.87529892896e-05,0.00721996271043
Ar,1s,4.90629044958e-05,0.00726585520964
Ar,1s,4.93747897851e-05,0.00731203936969
Ar,1s,4.96886576808e-05,0.00735851704325
Ar,1s,5.00045207862e-05,0.0074052900948
Ar,1s,5.03223917845e-05,0.00745236040058
Ar,1s,5.06422834395e-05,0.00749972984883
Ar,1s,5.09642085962e-05,0.00754740033957
Ar,1s,5.12881801813e-05,0.00759537378506
Ar,1s,5.16142112036e-05,0.00764365210961
Ar,1s,5.19423147547e-05,0.00769223724972
Ar,1s,5.22725040093e-05,0.00774113115427
Ar,1s,5.26047922258e-05,0.00779033578432
Ar,1s,5.29391927471e-05,0.00783985311355
Ar,1s,5.32757190007e-05,0.00788968512798
Ar,1s,5.36143844997e-05,0.00793983382647
Ar,1s,5.39552028428e-05,0.00799030122023
Ar,1s,5.42981877153e-05,0.00804108933352
Ar,1s,5.46433528896e-05,0.0080922002032
Ar,1s,5.49907122255e-05,0.00814363587925
Ar,1s,5.53402796709e-05,0.00819539842448
Ar,1s,5.56920692625e-05,0.00824748991482
Ar,1s,5.6046095126e-05,0.00829991243944
Ar,1s,5.64023714771e-05,0.00835266810074
Ar,1s,5.67609126219e-05,0.0084057590143
Ar,1s,5.71217329572e-05,0.00845918730919
Ar,1s,5.74848469715e-05,0.00851295512814
Ar,1s,5.78502692454e-05,0.00856706462723
Ar,1s,5.82180144522e-05,0.00862151797633
Ar,1s,5.85880973582e-05,0.00867631735894
Ar,1s,5.89605328241e-05,0.00873146497258
Ar,1s,5.93353358045e-05,0.00878696302854
Ar,1s,5.97125213495e-05,0.00884281375222
Ar,1s,6.00921046046e-05,0.00889901938306
Ar,1s,6.04741008117e-05,0.00895558217478
Ar,1s,6.08585253096e-05,0.00901250439521
Ar,1s,6.12453935344e-05,0.00906978832671
