atom,orbital,r_bohr,u
Ar,1s,2.02056373876e-05,0.00298734893822
Ar,1s,2.03340814967e-05,0.00300633885469
Ar,1s,2.04633421052e-05,0.00302544948334
Ar,1s,2.05934244034e-05,0.00304468159141
Ar,1s,2.07243336146e-05,0.00306403595106
Ar,1s,2.08560749954e-05,0.00308351333934
Ar,1s,2.09886538357e-05,0.00310311453825
Ar,1s,2.11220754593e-05,0.0031228403348
Ar,1s,2.12563452234e-05,0.00314269152088
Ar,1s,2.13914685196e-05,0.00316266889354
Ar,1s,2.15274507738e-05,0.00318277325486
Ar,1s,2.1664297446e-05,0.00320300541195
Ar,1s,2.18020140314e-05,0.00322336617714
Ar,1s,2.19406060598e-05,0.00324385636788
Ar,1s,2.20800790962e-05,0.00326447680678
Ar,1s,2.22204387412e-05,0.00328522832179
Ar,1s,2.23616906307e-05,0.00330611174597
Ar,1s,2.25038404366e-05,0.00332712791779
Ar,1s,2.26468938668e-05,0.003348277681
Ar,1s,2.27908566655e-05,0.00336956188474
Ar,1s,2.29357346134e-05,0.00339098138349
Ar,1s,2.30815335281e-05,0.00341253703725
Ar,1s,2.32282592638e-05,0.00343422971137
Ar,1s,2.33759177124e-05,0.00345606027681
Ar,1s,2.35245148028e-05,0.00347802960997
Ar,1s,2.3674056502e-05,0.00350013859291
Ar,1s,2.38245488146e-05,0.00352238811323
Ar,1s,2.39759977835e-05,0.00354477906415
Ar,1s,2.41284094901e-05,0.00356731234467
Ar,1s,2.42817900543e-05,0.00358998885941
Ar,1s,2.4436145635e-05,0.00361280951878
Ar,1s,2.45914824302e-05,0.00363577523892
Ar,1s,2.47478066775e-05,0.00365888694188
Ar,1s,2.49051246537e-05,0.00368214555547
Ar,1s,2.5063442676e-05,0.00370555201349
Ar,1s,2.52227671014e-05,0.00372910725562
Ar,1s,2.53831043275e-05,0.0037528122275
Ar,1s,2.55444607926e-05,0.00377666788083
Ar,1s,2.57068429757e-05,0.00380067517332
Ar,1s,2.58702573973e-05,0.00382483506875
Ar,1s,2.6034710619e-05,0.00384914853708
Ar,1s,2.62002092444e-05,0.00387361655435
Ar,1s,2.63667599189e-05,0.00389824010289
Ar,1s,2.65343693303e-05,0.00392302017123
Ar,1s,2.67030442088e-05,0.00394795775416
Ar,1s,2.68727913274e-05,0.00397305385285
Ar,1s,2.70436175021e-05,0.00399830947476
Ar,1s,2.72155295924e-05,0.00402372563381
Ar,1s,2.73885345012e-05,0.00404930335031
Ar,1s,2.75626391755e-05,0.0040750436511
Ar,1s,2.77378506062e-05,0.00410094756955
Ar,1s,2.79141758289e-05,0.00412701614551
Ar,1s,2.80916219237e-05,0.00415325042555
Ar,1s,2.82701960158e-05,0.0041796514628
Ar,1s,2.84499052759e-05,0.00420622031715
Ar,1s,2.86307569198e-05,0.00423295805517
Ar,1s,2.88127582097e-05,0.00425986575023
Ar,1s,2.89959164536e-05,0.0042869444825
Ar,1s,2.91802390061e-05,0.00431419533908
Ar,1s,2.93657332686e-05,0.00434161941389
Ar,1s,2.95524066894e-05,0.00436921780783
Ar,1s,2.97402667642e-05,0.00439699162882
Ar,1s,2.99293210364e-05,0.00442494199178
Ar,1s,3.01195770973e-05,0.00445307001871
Ar,1s,3.03110425866e-05,0.00448137683883
Ar,1s,3.05037251924e-05,0.00450986358843
Ar,1s,3.06976326517e-05,0.00453853141104
Ar,1s,3.08927727506e-05,0.00456738145743
Ar,1s,3.1089153325e-05,0.00459641488581
Ar,1s,3.12867822603e-05,0.00462563286158
Ar,1s,3.14856674921e-05,0.00465503655766
Ar,1s,3.16858170066e-05,0.00468462715436
Ar,1s,3.18872388405e-05,0.0047144058395
Ar,1s,3.20899410819e-05,0.00474437380846
Ar,1s,3.229393187e-05,0.00477453226422
Ar,1s,3.2499219396e-05,0.00480488241736
