atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Ar,3p_to_3d,1.000288397006,7.488679638728,7.484362081000442,0.6288625554151255,42.02387288452153,0.37061784126212516,68.95346822918825,0.6081159062341202,False
Ar,missing_core_continuum,1.322933690978,3.519754638468,2.0111119033016265,0.16898073036132186,4.013024518007663,0.035391751918795435,21.2365458131625,0.1872898004133614,True
Ar,3p_to_4s,0.736721245847,0.704844821311,1.2986350625303498,0.10911590796063582,0.9318343305802016,0.008218053318469244,10.085043627021587,0.08894223310526392,False
Ar,3p_to_4d,1.65319954388,2.074021565508,0.7588618395548052,0.06376225394558507,0.7140226173713419,0.006297123584722458,8.814505549223009,0.07773707643326956,False
Ar,3p_to_5s,1.65676972167,0.754299634772,0.274801816661095,0.023089819918909505,0.09383451449119089,0.0008275473631896962,3.1947040020143183,0.028174802069090624,False
Ar,3s_to_5p,1.988102969854,0.095360373473,0.024126270633261608,0.00202717453256106,0.0008679216618747849,7.65439333953314e-06,0.3005963806734064,0.0026510260489917793,False
Ar,3s_to_6p,4.31472951924,0.367928699319,0.01976316576131557,0.0016605710398891226,0.0012639440967091246,1.114700289251258e-05,0.30602398852957735,0.0026988933246329147,False
Ar,2p_to_5d,12.48147498717,1.509547336218,0.009689802263621055,0.0008141714346553197,0.0008789354950374885,7.751526773236387e-06,0.17440215199689793,0.0015380912002607603,False
Ar,3p_to_5d,3.50070615691,0.111630303282,0.009109001799818627,0.0007653705268558051,0.00021785046814831464,1.9212715221402182e-06,0.13450183556719303,0.0011862014736406408,False
Ar,2p_to_4d,10.63396837414,0.4452339698,0.003937291446322986,0.0003308251436196974,0.00012363793829561873,1.090390357764946e-06,0.06980171909035289,0.0006155968184260417,False
Ar,3p_to_6s,6.6034877835,0.110724482377,0.002539199952171036,0.00021335255474689635,3.1932170873967955e-05,2.8161688639797667e-07,0.04242790647974709,0.0003741811030126866,False
Ar,2s_to_6p,15.36000682242,0.34169185019,0.0014482775652273055,0.00012168939994649433,2.4163301808997294e-05,2.1310150967818738e-07,0.026506314892854335,0.00023376506093092904,False
Ar,2p_to_3d,9.981057227266,0.092506512725,0.0009285797703508788,7.802255435664157e-05,6.454702722334092e-06,5.692545271859849e-08,0.016354250500966488,0.00014423175685839072,False
Ar,3s_to_4p,1.407646602734,0.001189636241,0.000600380962862798,5.044613053755735e-05,3.8054737093147455e-07,3.3561315374278148e-09,0.006518025791998817,5.748391289302653e-05,False
Ar,2p_to_6s,15.58425661376,0.138510208436,0.0005703081806376599,4.7919309083187667e-05,3.8016012054979255e-06,3.352716290554179e-08,0.010448807453825546,9.215034685027263e-05,False
Ar,2p_to_5s,10.63753855193,0.051368293354,0.00045395504086090014,3.814290703065552e-05,1.6440994968877752e-06,1.449967755306832e-08,0.008048151203949567,7.097842775118424e-05,False
Ar,2s_to_5p,13.033380273034,0.06067874101,0.00035720902890344836,3.001396515861118e-05,1.247277780046336e-06,1.1000018955065237e-08,0.0064533211082744135,5.691326795824424e-05,False
Ar,2p_to_4s,9.717490076107,0.006976088601,7.387606865426194e-05,6.207328402226679e-06,3.9776166200533785e-08,3.5079481825567544e-10,0.0012973630569003507,1.1441732103152733e-05,False
Ar,2s_to_4p,12.452923905914,0.007669806426,4.945859039544495e-05,4.155685575697317e-06,2.2846310069541396e-08,2.0148666787675558e-10,0.0008900020381254717,7.849125067443424e-06,False
Ar,1s_to_6p,121.64891273442,0.102620224209,6.934521449514199e-06,5.826630021538961e-07,4.387352072875885e-09,3.869302952096734e-11,0.00013592319883080597,1.198736791026953e-06,False
Ar,1s_to_5p,119.322286185034,0.013050763843,9.166273250028845e-07,7.701826765275797e-08,7.519144453096726e-11,6.631300006552263e-13,1.796299539947843e-05,1.5841963437901686e-07,False
Ar,1s_to_4p,118.741829817914,0.001712411709,1.2145089357457662e-07,1.0204733344561739e-08,1.3136099503300986e-12,1.158501705422555e-14,2.3799256542790257e-06,2.0989091385675743e-08,False
