A,B,C6_au
Ar,Ar,115.47075637328805
Ar,Ca,620.9168519718994
Ar,K,894.0414110482739
Ar,Mg,292.2352095604661
Ar,Na,422.46652070295977
Ca,Ca,5348.657995303014
Ca,K,8403.591396648406
Ca,Mg,2485.3776590777616
Ca,Na,4177.073776148899
K,K,13494.432219099624
K,Mg,3892.3078946777587
K,Na,6805.902473586283
Mg,Mg,1155.4457950808496
Mg,Na,1930.5431005702778
Na,Na,3467.435162064135
