atom,from_orbital,to_orbital,d2
Na,2s,3p,0.321
Na,2s,4p,0.180
Na,2p,3s,0.123
Na,2p,3d,0.456
K,3s,4p,0.520
K,3s,5p,0.250
K,3p,4p,0.050
K,3p,3d,0.900
Mg,2s,3p,0.260
Mg,2p,3d,0.330
Ca,3s,4p,0.480
Ca,3p,4p,0.060
Ca,3p,3d,0.820
Ar,3s,4p,0.140
Ar,3p,4s,0.090
Ar,3p,3d,0.180
