atom,alpha0_au,C6_self_au,n_channels
Ar,11.10000000,64.30000000,1
Ca,157.10000000,2221.00000002,1
K,290.00000000,3897.00000002,1
Mg,71.30000000,627.00000000,1
Na,162.70000000,1555.99999998,1
