A,B,C6_au
Ar,Ar,64.30000000007212
Ar,Ca,267.6922064139783
Ar,K,273.99385548048934
Ar,Mg,157.90493250811755
Ar,Na,190.81947243150088
Ca,Ca,2221.000000016326
Ca,K,2787.079856922059
Ca,Mg,1165.5651935084295
Ca,Na,1817.6319012234026
K,K,3897.0000000249884
K,Mg,1392.9223386694912
K,Na,2445.1520951135267
Mg,Mg,627.0000000044588
Mg,Na,923.5944057676228
Na,Na,1555.9999999811346
