atom,alpha0_ref,uncertainty,source
Zn,37.95,0.77,"recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025"
Cd,45.68,1.21,"recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025"
